,Year,Hosts,Total_Attendance,Matches,Average_Attendance
0,1930,Uruguay,590549,18,32808
1,1934,Italy,363000,17,21353
2,1938,France,375700,18,20872
3,1950,Brazil,1045246,22,47511
4,1954,Switzerland,768607,26,29562
5,1958,Sweden,819810,35,23423
6,1962,Chile,893172,32,27912
7,1966,England,1563135,32,48848
8,1970,Mexico,1603975,32,50124
9,1974,West Germany,1865753,38,49099
10,1978,Argentina,1545791,38,40679
11,1982,Spain,2109723,52,40572
12,1986,Mexico,2394031,52,46039
13,1990,Italy,2516215,52,48389
14,1994,United States,3587538,52,68991
15,1998,France,2785100,64,43517
16,2002,South KoreaÂ Japan,2705197,64,42269
17,2006,Germany,3359439,64,52491
18,2010,South Africa,3178856,64,49670
19,2014,Brazil,3429873,64,53592
20,2018,Russia,3031768,64,47371
21,2022,Qatar,3404252,64,53191
